1. Spieltag
[Fr. 5.8.]
        Eintracht Frankfurt  1-6  Bayern München
        1. FC Union Berlin  3-1  Hertha BSC
        Bor. Mönchengladbach  3-1  TSG Hoffenheim
        VfL Wolfsburg  2-2  Werder Bremen
        VfL Bochum  1-2  1. FSV Mainz 05
        FC Augsburg  0-4  SC Freiburg
        Borussia Dortmund  1-0  Bayer 04 Leverkusen
        VfB Stuttgart  1-1  RB Leipzig
        1. FC Köln  3-1  FC Schalke 04
2. Spieltag
[Fr. 12.8.]
        SC Freiburg  1-3  Borussia Dortmund
        Bayer 04 Leverkusen  1-2  FC Augsburg
        RB Leipzig  2-2  1. FC Köln
        TSG Hoffenheim  3-2  VfL Bochum
        Hertha BSC  1-1  Eintracht Frankfurt
        Werder Bremen  2-2  VfB Stuttgart
        FC Schalke 04  2-2  Bor. Mönchengladbach
        1. FSV Mainz 05  0-0  1. FC Union Berlin
        Bayern München  2-0  VfL Wolfsburg
