1. Spieltag
[Fr. 18.8.]
        Werder Bremen  0-4  Bayern München
        Bayer 04 Leverkusen  3-2  RB Leipzig
        VfL Wolfsburg  2-0  1. FC Heidenheim
        TSG Hoffenheim  1-2  SC Freiburg
        FC Augsburg  4-4  Bor. Mönchengladbach
        VfB Stuttgart  5-0  VfL Bochum
        Borussia Dortmund  1-0  1. FC Köln
        1. FC Union Berlin  4-1  1. FSV Mainz 05
        Eintracht Frankfurt  1-0  SV Darmstadt 98
2. Spieltag
[Fr. 25.8.]
        RB Leipzig  5-1  VfB Stuttgart
        SC Freiburg  1-0  Werder Bremen
        1. FC Köln  1-2  VfL Wolfsburg
        VfL Bochum  1-1  Borussia Dortmund
        1. FC Heidenheim  2-3  TSG Hoffenheim
        SV Darmstadt 98  1-4  1. FC Union Berlin
        Bor. Mönchengladbach  0-3  Bayer 04 Leverkusen
        1. FSV Mainz 05  1-1  Eintracht Frankfurt
        Bayern München  3-1  FC Augsburg
